,stock,date,score,positive_score,negative_score,activity,avg_7_days,avg_14_days,avg_30_days
5,CME,2022-04-18,5,20,-19,8,8,10,7
6,CME,2022-04-19,-4,18,-21,24,7,7,7
7,CME,2022-04-20,17,24,-19,25,8,8,7
0,CMS,2022-04-13,-5,20,-19,8,6,7,9
1,CMS,2022-04-14,-6,20,-19,10,3,6,8
2,CMS,2022-04-15,-10,0,-19,2,1,5,8
3,CMS,2022-04-16,0,20,-19,3,1,4,8
4,CMS,2022-04-17,19,19,0,1,2,5,8
5,CMS,2022-04-18,27,30,-20,37,5,6,9
6,CMS,2022-04-19,2,20,-20,9,4,5,8
7,CMS,2022-04-20,13,20,-19,16,4,6,8
0,KO,2022-04-13,16,48,-40,711,8,9,7
1,KO,2022-04-14,-18,41,-51,758,4,7,6
2,KO,2022-04-15,0,47,-48,1433,3,6,6
3,KO,2022-04-16,-34,43,-58,1287,-1,4,5
4,KO,2022-04-17,15,44,-37,598,2,1,5
5,KO,2022-04-18,12,41,-31,455,2,3,5
6,KO,2022-04-19,15,42,-35,695,1,4,5
7,KO,2022-04-20,-18,51,-58,1906,-1,3,4
0,CTSH,2022-04-13,-2,20,-21,24,10,12,11
1,CTSH,2022-04-14,4,18,-20,8,10,10,11
2,CTSH,2022-04-15,1,12,0,9,10,10,11
3,CTSH,2022-04-16,0,19,-20,4,10,10,11
4,CTSH,2022-04-17,-6,20,-20,3,5,9,10
5,CTSH,2022-04-18,6,20,-20,10,4,9,10
6,CTSH,2022-04-19,2,20,-19,13,4,7,9
7,CTSH,2022-04-20,5,20,-20,13,3,7,9
0,CL,2022-04-13,24,44,-30,294,2,6,8
1,CL,2022-04-14,46,57,-40,2383,10,9,9
2,CL,2022-04-15,-1,33,-36,844,10,7,9
3,CL,2022-04-16,5,31,-29,155,10,6,9
4,CL,2022-04-17,12,35,-24,158,11,7,10
5,CL,2022-04-18,16,39,-28,213,12,8,10
6,CL,2022-04-19,-7,35,-39,327,11,7,9
7,CL,2022-04-20,11,44,-35,586,12,6,9
0,CMCSA,2022-04-13,2,45,-49,726,-15,-15,-13
1,CMCSA,2022-04-14,-57,39,-67,2850,-22,-18,-15
2,CMCSA,2022-04-15,-8,47,-52,960,-22,-17,-15
3,CMCSA,2022-04-16,-20,33,-45,340,-20,-17,-15
4,CMCSA,2022-04-17,-24,27,-42,225,-21,-19,-16
5,CMCSA,2022-04-18,-28,37,-52,800,-22,-19,-16
6,CMCSA,2022-04-19,-13,42,-48,532,-21,-20,-16
7,CMCSA,2022-04-20,7,45,-45,935,-18,-17,-16
0,CMA,2022-04-13,9,25,-16,35,2,3,5
1,CMA,2022-04-14,6,20,-20,7,4,3,5
2,CMA,2022-04-15,-6,20,-20,6,3,2,5
3,CMA,2022-04-16,-1,19,-20,20,2,2,4
4,CMA,2022-04-17,-4,0,-20,5,2,1,4
5,CMA,2022-04-18,5,18,-20,24,3,3,3
6,CMA,2022-04-19,-8,20,-30,125,1,1,3
7,CMA,2022-04-20,-13,27,-38,233,-2,0,2
0,CAG,2022-04-13,9,21,-17,28,4,4,3
1,CAG,2022-04-14,7,24,-20,40,4,4,4
2,CAG,2022-04-15,10,20,-20,20,4,5,4
3,CAG,2022-04-16,0,20,-20,2,4,5,3
4,CAG,2022-04-17,-4,16,-20,6,5,4,3
5,CAG,2022-04-18,15,21,-20,18,6,4,3
6,CAG,2022-04-19,10,24,-20,29,8,5,3
7,CAG,2022-04-20,3,16,-20,23,6,5,3
0,COP,2022-04-13,-7,28,-32,86,2,7,6
1,COP,2022-04-14,15,30,-21,57,1,8,6
2,COP,2022-04-15,11,25,-20,36,3,8,7
3,COP,2022-04-16,3,21,-19,30,5,7,6
4,COP,2022-04-17,28,36,-19,91,8,9,7
5,COP,2022-04-18,19,41,-30,192,8,11,7
6,COP,2022-04-19,14,32,-21,85,6,8,7
7,COP,2022-04-20,14,35,-24,151,7,8,7
0,ED,2022-04-13,-3,20,-20,26,-8,-9,-8
1,ED,2022-04-14,9,30,-23,88,-8,-8,-8
2,ED,2022-04-15,0,21,-21,28,-7,-8,-8
3,ED,2022-04-16,10,20,-20,8,-6,-7,-8
4,ED,2022-04-17,-8,15,-13,25,-5,-7,-8
5,ED,2022-04-18,-24,18,-33,67,-6,-8,-9
6,ED,2022-04-19,-18,20,-30,60,-6,-8,-9
7,ED,2022-04-20,0,22,-22,44,-3,-7,-8
0,STZ,2022-04-13,10,20,-15,16,11,9,11
1,STZ,2022-04-14,12,21,-17,20,12,10,12
2,STZ,2022-04-15,2,20,-19,9,12,10,12
3,STZ,2022-04-16,20,20,0,2,13,10,12
4,STZ,2022-04-17,8,19,-19,9,12,11,12
5,STZ,2022-04-18,6,20,-19,21,11,11,11
6,STZ,2022-04-19,23,26,-19,33,12,11,12
7,STZ,2022-04-20,21,25,0,25,13,12,12
0,CPRT,2022-04-13,7,20,-20,6,2,6,7
1,CPRT,2022-04-14,17,24,-20,25,5,6,7
2,CPRT,2022-04-15,19,20,0,11,6,7,7
3,CPRT,2022-04-16,0,0,0,4,5,7,6
4,CPRT,2022-04-17,-32,0,-33,48,2,5,5
5,CPRT,2022-04-18,2,17,-19,24,2,4,5
6,CPRT,2022-04-19,-2,0,-20,42,0,4,5
7,CPRT,2022-04-20,0,16,-20,68,1,2,5
0,GLW,2022-04-13,12,26,-16,48,-3,0,5
1,GLW,2022-04-14,1,21,-18,58,-2,-1,5
2,GLW,2022-04-15,2,23,-21,43,-2,-1,5
3,GLW,2022-04-16,0,19,-19,56,-2,-2,4
4,GLW,2022-04-17,2,17,-16,18,2,-1,4
5,GLW,2022-04-18,-5,18,-19,51,2,-1,4
6,GLW,2022-04-19,5,23,-20,56,2,-1,4
7,GLW,2022-04-20,3,20,-19,70,3,-1,4
0,COST,2022-04-13,47,63,-41,2223,27,24,21
1,COST,2022-04-14,26,57,-45,1475,29,23,22
2,COST,2022-04-15,36,62,-41,2067,30,24,23
3,COST,2022-04-16,26,56,-44,1526,29,24,23
4,COST,2022-04-17,-13,38,-56,1567,27,23,23
5,COST,2022-04-18,2,45,-48,1057,25,22,23
6,COST,2022-04-19,21,53,-48,1590,25,22,23
7,COST,2022-04-20,17,54,-47,1314,21,23,23
0,CTRA,2022-04-13,13,23,-19,21,7,5,10
1,CTRA,2022-04-14,24,29,-19,33,9,6,10
2,CTRA,2022-04-15,-2,20,-19,9,7,6,10
3,CTRA,2022-04-16,8,20,-6,9,8,7,10
4,CTRA,2022-04-17,-1,20,-18,21,6,7,9
5,CTRA,2022-04-18,9,39,-35,173,8,7,9
6,CTRA,2022-04-19,6,22,-19,38,7,7,9
7,CTRA,2022-04-20,18,25,-20,26,8,8,9
0,CCI,2022-04-13,7,20,-20,8,17,14,11
1,CCI,2022-04-14,23,25,0,20,17,16,12
2,CCI,2022-04-15,0,14,0,208,14,15,12
3,CCI,2022-04-16,30,32,-20,44,15,15,13
4,CCI,2022-04-17,2,20,-20,233,14,15,12
5,CCI,2022-04-18,2,20,-20,62,14,15,12
6,CCI,2022-04-19,17,33,-20,92,15,15,12
7,CCI,2022-04-20,22,43,-19,295,13,16,14
0,CSX,2022-04-13,5,27,-23,93,-13,-5,1
1,CSX,2022-04-14,28,38,-21,144,-7,-4,2
2,CSX,2022-04-15,4,31,-19,418,-1,-5,2
3,CSX,2022-04-16,9,27,-19,57,0,-6,2
4,CSX,2022-04-17,2,25,-19,252,1,-6,2
5,CSX,2022-04-18,2,30,-29,183,0,-5,2
6,CSX,2022-04-19,-2,40,-41,277,2,-6,2
7,CSX,2022-04-20,16,45,-27,519,4,-4,2
0,CMI,2022-04-13,3,17,-19,14,4,6,7
1,CMI,2022-04-14,14,25,-19,30,5,5,7
2,CMI,2022-04-15,19,22,0,17,8,6,8
3,CMI,2022-04-16,9,20,-19,9,8,6,8
4,CMI,2022-04-17,12,20,0,5,9,5,8
5,CMI,2022-04-18,2,17,-20,12,9,5,8
6,CMI,2022-04-19,12,24,-20,25,10,6,8
7,CMI,2022-04-20,7,19,-19,8,10,7,8
0,CVS,2022-04-13,13,32,-20,105,18,15,15
1,CVS,2022-04-14,12,25,-24,170,16,15,15
2,CVS,2022-04-15,-50,28,-58,919,7,9,13
3,CVS,2022-04-16,8,28,-20,83,6,9,13
4,CVS,2022-04-17,37,46,-20,282,7,11,13
5,CVS,2022-04-18,8,30,-22,100,6,11,13
6,CVS,2022-04-19,20,31,-20,73,7,12,13
7,CVS,2022-04-20,18,40,-26,180,8,13,13
0,DHI,2022-04-13,-5,18,-22,30,-4,-1,1
1,DHI,2022-04-14,2,22,-18,63,-3,-1,1
2,DHI,2022-04-15,3,17,-20,12,-2,-2,1
3,DHI,2022-04-16,11,20,0,7,0,-1,2
4,DHI,2022-04-17,7,17,0,5,4,0,1
5,DHI,2022-04-18,5,19,-20,10,3,-1,1
6,DHI,2022-04-19,-17,20,-23,40,1,-2,1
7,DHI,2022-04-20,0,19,-20,10,1,-2,0
0,DHR,2022-04-13,7,21,-20,22,5,5,5
1,DHR,2022-04-14,15,29,-16,48,5,6,6
2,DHR,2022-04-15,4,26,-19,232,6,6,5
3,DHR,2022-04-16,6,20,-20,17,4,6,5
4,DHR,2022-04-17,0,20,-20,229,2,5,5
5,DHR,2022-04-18,6,34,-18,455,3,5,5
6,DHR,2022-04-19,9,25,-19,38,3,6,5
7,DHR,2022-04-20,10,33,-21,173,3,6,5
0,DRI,2022-04-13,9,20,-19,9,9,8,6
1,DRI,2022-04-14,-8,20,-19,7,10,7,6
2,DRI,2022-04-15,15,20,0,4,10,7,6
3,DRI,2022-04-16,-11,0,-17,6,7,6,5
4,DRI,2022-04-17,-18,0,-18,3,3,5,5
5,DRI,2022-04-18,1,19,-19,50,2,4,5
6,DRI,2022-04-19,4,19,-20,10,1,4,4
7,DRI,2022-04-20,4,20,-20,9,0,4,4
0,DVA,2022-04-13,-11,20,-21,19,-3,-2,0
1,DVA,2022-04-14,-14,20,-25,32,-3,-3,0
2,DVA,2022-04-15,25,39,-29,246,0,-2,0
3,DVA,2022-04-16,26,34,-20,87,3,1,1
4,DVA,2022-04-17,2,18,-18,9,2,1,1
5,DVA,2022-04-18,2,21,-19,33,2,1,1
6,DVA,2022-04-19,-12,20,-26,33,1,0,0
7,DVA,2022-04-20,4,32,-30,76,1,0,0
0,DE,2022-04-13,9,39,-31,365,18,14,14
1,DE,2022-04-14,83,84,-35,17935,21,18,16
2,DE,2022-04-15,12,39,-31,281,21,18,16
3,DE,2022-04-16,16,36,-22,161,19,19,17
4,DE,2022-04-17,12,34,-17,219,17,20,17
5,DE,2022-04-18,20,43,-25,351,17,20,17
6,DE,2022-04-19,-43,40,-60,1359,8,16,15
7,DE,2022-04-20,17,42,-30,296,9,17,16
0,DAL,2022-04-13,18,60,-49,2363,3,-5,4
1,DAL,2022-04-14,-2,47,-49,900,3,-5,3
2,DAL,2022-04-15,12,37,-23,252,3,-4,3
3,DAL,2022-04-16,-27,37,-49,437,3,-7,1
4,DAL,2022-04-17,16,35,-21,258,4,-3,1
5,DAL,2022-04-18,-14,46,-58,4580,1,-1,1
6,DAL,2022-04-19,4,55,-55,1803,1,-1,0
7,DAL,2022-04-20,-47,46,-66,2804,-4,-2,-1
0,XRAY,2022-04-13,-2,20,-20,12,1,2,5
1,XRAY,2022-04-14,15,20,0,8,3,2,5
2,XRAY,2022-04-15,3,12,0,4,3,2,5
3,XRAY,2022-04-16,4,20,0,5,3,2,5
4,XRAY,2022-04-17,20,20,0,2,4,3,5
5,XRAY,2022-04-18,11,20,-3,7,6,4,5
6,XRAY,2022-04-19,-23,25,-40,167,3,2,4
7,XRAY,2022-04-20,-23,20,-31,55,1,1,3
0,DVN,2022-04-13,29,40,-20,137,18,18,18
1,DVN,2022-04-14,9,27,-19,60,16,18,18
2,DVN,2022-04-15,32,33,0,68,21,20,19
3,DVN,2022-04-16,14,20,-19,13,19,20,18
4,DVN,2022-04-17,14,27,-20,49,19,20,18
5,DVN,2022-04-18,-1,39,-39,199,16,18,17
6,DVN,2022-04-19,35,43,-19,173,20,19,19
7,DVN,2022-04-20,40,44,-19,195,21,19,20
0,DXCM,2022-04-13,0,19,-20,37,2,5,6
1,DXCM,2022-04-14,-1,20,-21,34,1,4,5
2,DXCM,2022-04-15,0,24,-24,155,0,4,5
3,DXCM,2022-04-16,3,18,-20,20,-2,3,5
4,DXCM,2022-04-17,-8,15,-20,18,-3,1,5
5,DXCM,2022-04-18,-4,20,-25,54,-2,1,4
6,DXCM,2022-04-19,6,21,-19,21,-1,1,4
7,DXCM,2022-04-20,-3,19,-21,42,-1,1,3
0,FANG,2022-04-13,4,22,-20,65,6,11,14
1,FANG,2022-04-14,20,31,-19,58,7,11,14
2,FANG,2022-04-15,-3,27,-28,81,9,9,13
3,FANG,2022-04-16,26,32,0,59,13,11,13
4,FANG,2022-04-17,-2,17,-16,27,11,9,12
5,FANG,2022-04-18,4,27,-20,231,10,7,12
6,FANG,2022-04-19,13,25,-20,37,11,7,12
7,FANG,2022-04-20,34,43,-20,199,13,9,13
0,DLR,2022-04-13,16,19,0,6,18,18,17
1,DLR,2022-04-14,-4,20,-19,5,15,16,17
2,DLR,2022-04-15,27,27,0,24,14,17,17
3,DLR,2022-04-16,6,20,-19,11,13,16,17
4,DLR,2022-04-17,13,20,0,3,12,15,17
5,DLR,2022-04-18,12,20,-19,5,12,14,17
6,DLR,2022-04-19,20,25,-19,21,14,16,18
7,DLR,2022-04-20,8,20,-20,5,13,15,18
0,DFS,2022-04-13,-3,20,-19,7,6,5,6
1,DFS,2022-04-14,4,20,-14,11,6,4,5
2,DFS,2022-04-15,0,20,-19,7,5,3,5
3,DFS,2022-04-16,20,20,0,5,7,4,5
4,DFS,2022-04-17,20,20,0,3,7,5,6
5,DFS,2022-04-18,18,30,-19,47,7,6,6
6,DFS,2022-04-19,5,20,-11,18,8,8,6
7,DFS,2022-04-20,4,20,-19,25,9,8,5
0,DISCA,2022-04-13,2,33,-31,835,9,10,10
1,DISCA,2022-04-14,3,37,-36,344,6,11,10
2,DISCA,2022-04-15,24,49,-24,634,10,12,10
3,DISCA,2022-04-16,14,46,-35,843,16,11,10
4,DISCA,2022-04-17,-11,38,-35,452,9,10,9
5,DISCA,2022-04-18,5,37,-33,299,12,9,9
6,DISCA,2022-04-19,3,43,-42,465,10,8,8
7,DISCA,2022-04-20,-1,38,-41,654,8,7,8
0,DISCK,2022-04-13,1,32,-31,824,11,11,10
1,DISCK,2022-04-14,2,36,-36,334,8,12,9
2,DISCK,2022-04-15,24,49,-24,626,9,13,10
3,DISCK,2022-04-16,14,46,-35,841,16,12,10
4,DISCK,2022-04-17,-11,37,-35,449,8,11,9
5,DISCK,2022-04-18,3,36,-32,284,11,10,9
6,DISCK,2022-04-19,9,43,-39,404,10,10,9
7,DISCK,2022-04-20,0,37,-40,639,8,9,8
0,DISH,2022-04-13,7,23,-20,37,5,4,3
1,DISH,2022-04-14,14,32,-23,69,6,5,3
2,DISH,2022-04-15,-4,18,-21,37,6,5,3
3,DISH,2022-04-16,-4,20,-16,17,5,4,3
4,DISH,2022-04-17,44,46,-20,290,9,6,4
5,DISH,2022-04-18,-8,18,-29,89,8,5,4
6,DISH,2022-04-19,0,20,-20,444,8,5,4
7,DISH,2022-04-20,8,21,-19,28,7,6,4
0,DG,2022-04-13,13,40,-30,235,11,11,8
1,DG,2022-04-14,14,43,-34,299,13,11,9
2,DG,2022-04-15,9,41,-38,244,13,11,9
3,DG,2022-04-16,2,37,-37,200,14,10,9
4,DG,2022-04-17,2,39,-27,2720,11,9,9
5,DG,2022-04-18,-4,44,-46,554,11,7,8
6,DG,2022-04-19,-55,43,-62,5888,1,4,6
7,DG,2022-04-20,-34,39,-51,888,-5,2,5
0,DLTR,2022-04-13,4,41,-38,382,3,3,3
1,DLTR,2022-04-14,-13,41,-48,675,2,3,2
2,DLTR,2022-04-15,-41,39,-57,1063,-4,0,1
3,DLTR,2022-04-16,-3,42,-42,579,-5,-1,1
4,DLTR,2022-04-17,-5,35,-39,327,-6,-1,1
5,DLTR,2022-04-18,2,43,-40,370,-5,-2,0
6,DLTR,2022-04-19,23,48,-37,425,-4,0,1
7,DLTR,2022-04-20,-5,41,-44,393,-4,-1,0
0,D,2022-04-13,5,20,-19,19,10,13,12
1,D,2022-04-14,9,20,-18,17,11,12,12
2,D,2022-04-15,-1,17,-19,17,9,11,11
3,D,2022-04-16,7,20,-20,8,9,10,11
4,D,2022-04-17,19,23,-19,16,10,10,11
5,D,2022-04-18,4,18,-18,17,8,10,11
6,D,2022-04-19,4,20,-19,21,9,10,11
7,D,2022-04-20,10,20,0,17,8,9,11
0,DPZ,2022-04-13,8,31,-25,109,-4,2,4
1,DPZ,2022-04-14,13,43,-26,789,-2,2,4
2,DPZ,2022-04-15,-15,27,-35,131,2,0,3
3,DPZ,2022-04-16,-49,28,-58,1020,-1,-4,1
4,DPZ,2022-04-17,-1,24,-25,95,-6,-5,2
5,DPZ,2022-04-18,8,32,-26,100,-1,-5,2
6,DPZ,2022-04-19,-15,38,-44,295,-2,-6,2
7,DPZ,2022-04-20,15,36,-24,166,-2,-5,5
0,DOV,2022-04-13,27,32,-20,51,19,20,17
1,DOV,2022-04-14,10,19,-20,26,18,20,18
2,DOV,2022-04-15,12,24,-20,36,18,20,18
3,DOV,2022-04-16,28,32,-19,53,20,20,18
4,DOV,2022-04-17,27,29,-20,32,20,20,18
5,DOV,2022-04-18,4,18,-20,27,20,18,18
6,DOV,2022-04-19,30,31,-19,39,21,19,19
7,DOV,2022-04-20,12,31,-20,133,20,19,19
0,DOW,2022-04-13,13,30,-20,80,3,3,7
1,DOW,2022-04-14,-4,31,-32,144,3,3,6
2,DOW,2022-04-15,2,24,-19,240,3,3,5
3,DOW,2022-04-16,13,27,-19,53,3,3,5
4,DOW,2022-04-17,0,22,-17,404,4,3,5
5,DOW,2022-04-18,-15,35,-45,435,3,2,4
6,DOW,2022-04-19,-24,31,-44,244,0,0,2
7,DOW,2022-04-20,8,42,-30,377,0,1,2
0,DTE,2022-04-13,-5,28,-26,242,-4,4,0
1,DTE,2022-04-14,-9,35,-39,215,-2,2,0
2,DTE,2022-04-15,1,30,-32,111,0,3,-1
3,DTE,2022-04-16,-1,20,-20,20,0,4,-1
4,DTE,2022-04-17,-1,20,-19,68,1,1,-1
5,DTE,2022-04-18,5,32,-21,137,2,1,-1
6,DTE,2022-04-19,-10,24,-32,99,-1,0,0
7,DTE,2022-04-20,2,22,-21,34,-4,-3,0
0,DUK,2022-04-13,-2,21,-23,53,4,6,5
1,DUK,2022-04-14,17,28,-20,41,4,6,5
2,DUK,2022-04-15,-3,20,-20,37,2,4,5
3,DUK,2022-04-16,-4,19,-23,50,1,3,5
4,DUK,2022-04-17,-3,19,-20,18,2,3,4
5,DUK,2022-04-18,-1,27,-28,66,2,3,4
6,DUK,2022-04-19,-9,21,-28,44,1,2,4
7,DUK,2022-04-20,7,24,-19,53,1,2,4
0,DRE,2022-04-13,15,20,0,11,7,9,9
1,DRE,2022-04-14,4,19,0,9,7,9,9
2,DRE,2022-04-15,0,20,-16,9,6,8,8
3,DRE,2022-04-16,10,20,0,2,5,9,8
4,DRE,2022-04-17,20,20,0,1,9,9,9
5,DRE,2022-04-18,1,20,-15,10,8,8,9
6,DRE,2022-04-19,12,20,-20,5,7,8,9
7,DRE,2022-04-20,11,20,-20,7,9,8,9
0,DD,2022-04-13,25,33,-20,58,15,12,10
1,DD,2022-04-14,31,34,-19,62,20,13,11
2,DD,2022-04-15,33,35,-20,65,24,15,12
3,DD,2022-04-16,37,38,0,93,29,17,12
4,DD,2022-04-17,17,32,-23,57,29,18,12
5,DD,2022-04-18,24,34,-19,78,29,19,13
6,DD,2022-04-19,19,30,-20,46,27,19,13
7,DD,2022-04-20,21,33,-18,74,26,20,13
0,DXC,2022-04-13,8,20,-19,10,9,7,7
1,DXC,2022-04-14,1,20,-16,20,7,7,7
2,DXC,2022-04-15,5,18,-19,7,6,7,7
3,DXC,2022-04-16,15,20,0,4,5,7,7
4,DXC,2022-04-17,-6,0,-19,3,3,6,6
5,DXC,2022-04-18,3,20,-18,8,3,6,6
6,DXC,2022-04-19,-2,20,-20,10,3,6,6
7,DXC,2022-04-20,2,20,-20,36,3,6,6
0,EMN,2022-04-13,5,20,-20,14,0,1,3
1,EMN,2022-04-14,-15,0,-20,4,-1,0,3
2,EMN,2022-04-15,-20,0,-20,1,-3,-2,2
3,EMN,2022-04-16,-19,0,-19,1,-6,-3,1
4,EMN,2022-04-17,4,20,-20,5,-6,-3,1
5,EMN,2022-04-18,8,20,0,26,-4,-1,1
6,EMN,2022-04-19,-9,19,-19,15,-6,-2,1
7,EMN,2022-04-20,11,20,-19,16,-6,-2,1
0,ETN,2022-04-13,14,27,-19,49,23,25,22
1,ETN,2022-04-14,23,28,-20,35,23,25,22
2,ETN,2022-04-15,10,20,-17,17,20,24,21
3,ETN,2022-04-16,11,27,-18,38,17,23,21
4,ETN,2022-04-17,22,22,0,13,17,23,21
5,ETN,2022-04-18,18,24,-20,22,17,21,21
6,ETN,2022-04-19,16,26,-20,32,15,21,22
7,ETN,2022-04-20,22,31,-20,49,17,21,22
0,EBAY,2022-04-13,45,62,-41,1843,7,6,9
1,EBAY,2022-04-14,2,32,-32,337,7,6,8
2,EBAY,2022-04-15,1,28,-18,784,6,5,7
3,EBAY,2022-04-16,2,29,-26,434,6,5,6
4,EBAY,2022-04-17,3,30,-22,416,7,6,6
5,EBAY,2022-04-18,38,57,-40,1726,11,8,5
6,EBAY,2022-04-19,-10,29,-41,453,9,7,5
7,EBAY,2022-04-20,27,52,-37,909,12,8,7
0,ECL,2022-04-13,21,22,0,17,3,2,5
1,ECL,2022-04-14,9,20,-17,9,4,3,5
2,ECL,2022-04-15,2,19,-20,10,3,4,5
3,ECL,2022-04-16,10,20,0,2,3,5,5
4,ECL,2022-04-17,8,20,-20,7,7,6,5
5,ECL,2022-04-18,24,28,-20,39,10,7,5
6,ECL,2022-04-19,6,20,-19,16,10,6,5
7,ECL,2022-04-20,5,20,-19,14,11,6,5
0,EIX,2022-04-13,21,29,-20,36,7,8,7
1,EIX,2022-04-14,11,18,-20,16,8,8,7
2,EIX,2022-04-15,4,19,-20,4,7,8,7
3,EIX,2022-04-16,15,20,-19,8,8,8,7
4,EIX,2022-04-17,0,20,-20,3,8,8,8
5,EIX,2022-04-18,-6,19,-19,6,5,6,7
6,EIX,2022-04-19,0,20,-15,8,5,6,7
7,EIX,2022-04-20,10,20,0,4,7,6,7
0,EW,2022-04-13,8,20,-19,15,13,14,11
1,EW,2022-04-14,9,20,-20,9,14,14,11
2,EW,2022-04-15,-14,20,-22,17,10,11,10
3,EW,2022-04-16,34,36,-20,73,12,12,11
4,EW,2022-04-17,29,31,0,40,14,12,11
5,EW,2022-04-18,16,20,0,10,13,13,11
6,EW,2022-04-19,-9,29,-35,114,9,11,11
7,EW,2022-04-20,20,35,-18,99,12,13,11
0,EA,2022-04-13,0,23,-23,80,-1,1,2
1,EA,2022-04-14,18,34,-20,106,2,1,2
2,EA,2022-04-15,1,20,-20,46,1,1,1
3,EA,2022-04-16,-6,20,-20,42,0,0,1
4,EA,2022-04-17,2,20,-20,42,1,0,1
5,EA,2022-04-18,1,19,-20,64,3,1,1
6,EA,2022-04-19,-13,23,-37,229,1,0,1
7,EA,2022-04-20,15,36,-23,146,2,1,1
0,LLY,2022-04-13,8,34,-29,101,16,18,13
1,LLY,2022-04-14,9,23,-20,33,17,19,13
2,LLY,2022-04-15,-3,18,-19,8,13,18,13
3,LLY,2022-04-16,-16,20,-21,14,8,16,12
4,LLY,2022-04-17,5,19,-19,31,8,15,11
5,LLY,2022-04-18,-9,24,-30,63,5,13,11
6,LLY,2022-04-19,11,31,-23,76,2,11,10
7,LLY,2022-04-20,20,31,-19,55,4,10,11
0,EMR,2022-04-13,4,20,-20,18,8,8,7
1,EMR,2022-04-14,4,20,-19,10,7,8,7
2,EMR,2022-04-15,2,20,-19,10,8,7,7
3,EMR,2022-04-16,5,20,-20,8,9,7,7
4,EMR,2022-04-17,-10,0,-20,6,6,6,6
5,EMR,2022-04-18,8,20,-20,11,5,6,6
6,EMR,2022-04-19,19,23,-19,19,5,7,6
7,EMR,2022-04-20,0,20,-19,5,4,6,6
0,ENPH,2022-04-13,15,30,-20,67,17,19,22
1,ENPH,2022-04-14,19,35,-23,93,15,18,21
2,ENPH,2022-04-15,12,21,-18,17,15,19,21
3,ENPH,2022-04-16,21,30,-20,59,15,19,21
4,ENPH,2022-04-17,6,21,-12,63,14,18,20
5,ENPH,2022-04-18,-2,20,-19,30,11,16,20
6,ENPH,2022-04-19,28,37,-19,92,13,16,20
7,ENPH,2022-04-20,13,40,-36,207,15,15,20
0,ETR,2022-04-13,-3,26,-29,67,-3,-3,-3
1,ETR,2022-04-14,-18,21,-32,67,-4,-3,-4
2,ETR,2022-04-15,-5,17,-19,20,-5,-2,-4
3,ETR,2022-04-16,-6,18,-20,12,-6,-2,-5
4,ETR,2022-04-17,5,19,-20,12,-6,-2,-5
5,ETR,2022-04-18,7,23,-16,30,-5,-1,-5
6,ETR,2022-04-19,-3,20,-20,15,-4,-2,-5
7,ETR,2022-04-20,-3,20,-19,18,-4,-3,-5
0,EOG,2022-04-13,23,30,-19,45,10,2,4
1,EOG,2022-04-14,7,21,-19,24,10,7,4
2,EOG,2022-04-15,5,19,-19,8,9,7,4
3,EOG,2022-04-16,9,20,-19,12,11,8,4
4,EOG,2022-04-17,2,17,-19,28,8,8,4
5,EOG,2022-04-18,24,31,-19,46,10,10,4
6,EOG,2022-04-19,3,20,-19,28,8,10,4
7,EOG,2022-04-20,16,26,-19,31,10,10,4
0,EFX,2022-04-13,9,35,-30,129,-1,-2,1
1,EFX,2022-04-14,-4,24,-25,48,-3,-2,0
2,EFX,2022-04-15,-5,23,-27,56,-3,-3,0
3,EFX,2022-04-16,-12,20,-20,18,-3,-3,-1
4,EFX,2022-04-17,-27,18,-35,78,-7,-5,-2
5,EFX,2022-04-18,23,32,-18,64,-2,-3,-1
6,EFX,2022-04-19,4,37,-33,183,-1,-2,0
7,EFX,2022-04-20,-1,33,-33,280,-1,-2,-1
0,EQR,2022-04-13,-6,20,-20,3,10,8,7
1,EQR,2022-04-14,0,0,0,8,9,8,7
2,EQR,2022-04-15,-7,0,-20,3,5,7,6
3,EQR,2022-04-16,1,20,-16,6,4,6,6
4,EQR,2022-04-17,8,20,0,5,4,6,6
5,EQR,2022-04-18,6,20,-19,10,3,8,6
6,EQR,2022-04-19,12,20,-20,10,5,8,7
7,EQR,2022-04-20,23,25,-19,20,7,8,8
0,ESS,2022-04-13,27,32,-19,50,17,19,19
1,ESS,2022-04-14,20,20,0,10,17,20,19
2,ESS,2022-04-15,14,20,-20,12,18,20,19
3,ESS,2022-04-16,27,30,-19,38,18,19,19
4,ESS,2022-04-17,12,20,-20,5,19,18,18
5,ESS,2022-04-18,40,50,-27,403,23,20,19
6,ESS,2022-04-19,43,48,-20,291,26,21,20
7,ESS,2022-04-20,29,45,-30,293,27,21,20
0,EL,2022-04-13,15,27,-16,43,10,10,9
1,EL,2022-04-14,31,38,-20,108,13,11,9
2,EL,2022-04-15,9,20,-18,28,12,10,10
3,EL,2022-04-16,1,20,-19,29,11,10,9
4,EL,2022-04-17,8,19,-20,17,11,10,10
5,EL,2022-04-18,47,50,-19,373,16,13,11
6,EL,2022-04-19,19,40,-26,211,18,13,11
7,EL,2022-04-20,10,25,-20,97,16,14,11
0,ETSY,2022-04-13,-29,29,-46,332,-29,-17,-11
1,ETSY,2022-04-14,9,40,-39,378,-32,-18,-11
2,ETSY,2022-04-15,-33,27,-47,329,-31,-15,-12
3,ETSY,2022-04-16,-28,29,-45,286,-31,-17,-13
